"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","10 POST /todos (400) - fail validation on doneStatus field","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","56","33 POST /todos (415) - unsupported media type","API Tests","Mon Nov 10 17:10:44 UTC 2025","passed","Mon Nov 10 17:10:44 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","235","07 GET /todos (200) ?filter - получить список выполненных задач","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","5334","Пользователь может оставить комментарий под статьёй","UI Tests","Mon Nov 10 17:10:51 UTC 2025","passed","Mon Nov 10 17:10:56 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","4585","Пользователь может удалить статью","UI Tests","Mon Nov 10 17:10:56 UTC 2025","passed","Mon Nov 10 17:11:01 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","58","13 POST /todos (201) - max out content","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","27 GET /todos (200) ANY - get todos in default format","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","114","02 GET /challenges (200) - получить список challenge задач","API Tests","Mon Nov 10 17:10:41 UTC 2025","passed","Mon Nov 10 17:10:41 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","61","03 GET /todos (200) - получить список todos задач","API Tests","Mon Nov 10 17:10:41 UTC 2025","passed","Mon Nov 10 17:10:41 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","16 PUT /todos/{id} (400) - attempt to create with PUT","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","112","32 POST /todos JSON - create todo in JSON format","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:44 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","114","20 PUT /todos/{id} partial (400) - no title field","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","65","12 POST /todos (400) - description too long","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","28 GET /todos (200) XML pref - get todos in XML format with preference","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","112","09 POST /todos (201) - создать новую задачу","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","15 POST /todos (400) - extra field","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","26 GET /todos (200) JSON - get todos in JSON format","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","59","44GET /heartbeat (204) - GET request returns 204","API Tests","Mon Nov 10 17:10:44 UTC 2025","passed","Mon Nov 10 17:10:44 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","18 POST /todos/{id} (404) - update non-existent todo","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","124","17 POST /todos/{id} (200) - partial update","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","59","14 POST /todos (413) - content too long","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","58","06 GET /todos/{id} (404) - получить 404 для несуществующей задачи","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","175","23 DELETE /todos/{id} (200) - delete todo","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","63","31 POST /todos XML - create todo in XML format","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","57","11 POST /todos (400) - title too long","API Tests","Mon Nov 10 17:10:42 UTC 2025","passed","Mon Nov 10 17:10:42 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4635","Пользователь может обновить имя и почту в профиле","UI Tests","Mon Nov 10 17:11:05 UTC 2025","passed","Mon Nov 10 17:11:10 UTC 2025","Обновление профиля","ui/profile.spec.js","",""
"","56","04 GET /todo (404) not plural - получить 404 при вызове /todo","API Tests","Mon Nov 10 17:10:41 UTC 2025","passed","Mon Nov 10 17:10:41 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","3993","Пользователю доступны табы Your Feed, Global Feed после регистрации","UI Tests","Mon Nov 10 17:11:01 UTC 2025","passed","Mon Nov 10 17:11:05 UTC 2025","Главная страница","ui/mainPage.spec.js","",""
"","57","25 GET /todos (200) XML - получить список todos задач в формате XML","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4916","Пользователь может создать новую статью","UI Tests","Mon Nov 10 17:10:46 UTC 2025","passed","Mon Nov 10 17:10:50 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","114","19 PUT /todos/{id} full (200) - full update","API Tests","Mon Nov 10 17:10:43 UTC 2025","passed","Mon Nov 10 17:10:43 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","55","41DELETE /heartbeat (405) - DELETE request returns 405","API Tests","Mon Nov 10 17:10:44 UTC 2025","passed","Mon Nov 10 17:10:44 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","65","05 GET /todos/{id} (200) - получить todo по id","API Tests","Mon Nov 10 17:10:41 UTC 2025","passed","Mon Nov 10 17:10:41 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","54","42PATCH /heartbeat (500) - PATCH request returns 500","API Tests","Mon Nov 10 17:10:44 UTC 2025","passed","Mon Nov 10 17:10:44 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","965","58 DELETE /todos/{id} (200) all - delete all todos","API Tests","Mon Nov 10 17:10:44 UTC 2025","passed","Mon Nov 10 17:10:45 UTC 2025","Challenge API","api/apihw.spec.js","",""
